Species,Site,gross_photosynthesis,SA
Acropora nana,High,1.540861285,4.597
Pocillopora damicornis,High,1.551008633,9.008
Acropora tenuis,Low,0.653593062,10.958
Seriatopora hystrix,Low,0.686918975,6.244
Acropora tenuis,Low,0.437149973,12.263
Favites pentagona,Low,0.299802826,6.564
Acropora nana,High,1.465823504,5.21
Pocillopora damicornis,High,1.53354005,5.506
Acropora hyacinthus,High,0.677960248,5.506
Seriatopora hystrix,High,1.658816056,5.975
Porites cylindrica,Low,1.60031856,4.45
Acropora tenuis,High,1.754029992,6.952
Pocillopora damicornis,High,1.269283338,13.465
Dipsastraea pallida,High,0.69270475,14.592
Pocillopora verrucosa,Low,2.010603859,6.447
Seriatopora hystrix,High,1.143260133,3.938
Acropora tenuis,Low,1.415893993,5.961
Pocillopora verrucosa,High,1.373931105,5.696
Seriatopora hystrix,Low,1.292285521,2.275
Acropora tenuis,High,1.048721943,14.048
Porites cylindrica,Low,0.907031411,2.942
Heliopora coerulea,Low,0.556030556,2.359
Pocillopora verrucosa,Low,0.970030715,4.654
Heliopora coerulea,High,1.665621381,5.994
Dipsastraea pallida,High,0.633053671,6.005
Favites pentagona,High,0.542143757,5.842
Favites halicora,High,0.540986879,7.318
Seriatopora hystrix,High,1.323035318,6.602
Heliopora coerulea,High,1.369496862,8.544
Dipsastraea pallida,Low,1.357754838,2.82
Porites cylindrica,High,0.718106286,8.967
Porites cylindrica,Low,1.967262166,6.2
Porites cylindrica,Low,0.971890109,3.756
Pocillopora verrucosa,Low,0.88837644,7.505
Pocillopora verrucosa,Low,1.156189323,6.393
Pocillopora verrucosa,Low,0.685432669,15.199
Dipsastraea pallida,Low,1.039099478,9.087
Seriatopora hystrix,High,1.449650598,3.737
Acropora hyacinthus,Low,0.550358092,6.159
Seriatopora hystrix,Low,1.2081952,2.391
Pocillopora verrucosa,Low,1.721412426,5.115
Acropora tenuis,Low,0.430185427,11.688
Heliopora coerulea,Low,0.777661676,4.708
Acropora nana,Low,1.57113325,5.123
Pocillopora damicornis,Low,0.769529146,7.188
Porites cylindrica,Low,1.375492957,5.009
Acropora tenuis,Low,0.446529935,9.442
Acropora tenuis,Low,0.591975179,9.507
Acropora tenuis,High,0.985266102,4.928
Porites cylindrica,High,2.443710268,4.475
Porites cylindrica,High,2.057068402,4.73
Acropora tenuis,Low,0.519094608,8.823
Porites cylindrica,High,0.714337389,4.279
Pocillopora verrucosa,Low,1.8379518,2.598
Galaxea fascicularis,High,0.518152614,10.514
Seriatopora hystrix,High,1.05674929,5.834
Porites cylindrica,High,0.990439553,6.124
Seriatopora hystrix,High,1.610001723,5.484
Favites pentagona,High,0.341031431,8.224
Acropora tenuis,Low,0.882434016,5.815
Acropora hyacinthus,Low,0.567933332,9.195
Pocillopora damicornis,Low,1.206599658,6.037
Dipsastraea pallida,Low,0.689334159,2.494
Acropora hyacinthus,Low,0.443255692,7.763
Favites pentagona,Low,0.218356374,5.937
Pocillopora verrucosa,High,1.367169888,10.703
Pocillopora damicornis,High,1.311794882,16.023
Acropora hyacinthus,High,0.598759234,9.073
Pocillopora damicornis,Low,0.537860348,2.551
